name,university,rank,url,cit,cit_2012,hid,hid_2012,citations,papers
David A Kolb,Case Western Reserve University,38,https://scholar.google.com/citations?user=MBn_GG4AAAAJ&hl=en,72061,33129,63,45,43163,23
Jaein Choi,Georgia Institute of Technology,35,https://scholar.google.com/citations?user=nd2y54YAAAAJ&hl=en,3893,3671,8,5,3673,2
Joseph A Schumpeter,Harvard,2,https://scholar.google.com/citations?user=eiol1dkAAAAJ&hl=en,173079,71686,86,60,41867,24
Jed Blore,University of Washington,60,https://scholar.google.com/citations?user=BhLLUUEAAAAJ&hl=en,25369,25241,21,21,49515,31
Emil Wolf,University of Rochester,36,https://scholar.google.com/citations?user=Yq8zT9sAAAAJ&hl=en,100502,25095,94,46,58713,37
Adrian Tan,University of Michigan,28,https://scholar.google.com/citations?user=_rhZSPQAAAAJ&hl=en,7842,7106,10,9,6317,4
M. Kimberly MacLin,University of Iowa,80,https://scholar.google.com/citations?user=XwY8g28AAAAJ&hl=en,2066,904,12,10,1489,1
Ronald Harry Coase,University of Chicago,3,https://scholar.google.com/citations?user=pOCX2hcAAAAJ&hl=en,97222,30567,57,40,38725,27
Paul J. Feldstein,University of California Irvine,43,https://scholar.google.com/citations?user=ZwnwOywAAAAJ&hl=en,4003,636,26,10,1377,1
Curtis Rueden,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=VqKfxYcAAAAJ&hl=en,21764,21335,14,11,20079,15
Don Norman,University of California San Diego,44,https://scholar.google.com/citations?user=h-2JebwAAAAJ&hl=en,93784,28858,92,59,46999,37
Don Norman,University of San Diego,93,https://scholar.google.com/citations?user=h-2JebwAAAAJ&hl=en,93784,28858,92,59,46999,37
Ellicott C Matthay (aka Katherine E Colson),UC Berkeley,22,https://scholar.google.com/citations?user=8ryT3pQAAAAJ&hl=en,23509,23371,8,8,27261,22
William N. Dunn,University of Pittsburgh,68,https://scholar.google.com/citations?user=LwgqhiQAAAAJ&hl=en,11462,5037,29,19,7329,6
Daniel Kahneman,Princeton,1,https://scholar.google.com/citations?user=ImhakoAAAAAJ&hl=en,305133,136606,127,97,56924,48
Seungchan Ryu,Massachusetts Institute of Technology,6,https://scholar.google.com/citations?user=7vmUBJEAAAAJ&hl=en,7028,7016,6,6,7028,6
Valarie Zeithaml,University of North Carolina at Chapel Hill,31,https://scholar.google.com/citations?user=fxbJ16gAAAAJ&hl=en,171100,81331,75,61,15773,14
Colin Cameron,University of California Davis,48,https://scholar.google.com/citations?user=aZwi_NwAAAAJ&hl=en,29907,18835,24,21,7783,7
Tristan Frum,Michigan State University,83,https://scholar.google.com/citations?user=HKKlCU8AAAAJ&hl=en,12858,10685,8,8,7651,7
Xinmeng Jasmine Mu,Harvard,2,https://scholar.google.com/citations?user=nbEu1ecAAAAJ&hl=en,22375,21338,21,21,15158,14
Xinmeng Jasmine Mu,Massachusetts Institute of Technology,6,https://scholar.google.com/citations?user=nbEu1ecAAAAJ&hl=en,22375,21338,21,21,15158,14
Abraham Ulman,New York University,30,https://scholar.google.com/citations?user=y9dLrDcAAAAJ&hl=en,30074,6779,63,33,7192,7
Michael F. Lin,Massachusetts Institute of Technology,6,https://scholar.google.com/citations?user=EHcZ_OAAAAAJ&hl=en,17487,15080,21,21,8595,9
Louis Gapenski,University of Florida,45,https://scholar.google.com/citations?user=3NFzxqcAAAAJ&hl=en,5990,2791,16,12,4737,5
Lisa Marie Knowlton,Stanford,7,https://scholar.google.com/citations?user=bUX28FwAAAAJ&hl=en,18185,17999,15,15,17904,19
Muhammad Aurangzeb Ahmad,University of Washington,60,https://scholar.google.com/citations?user=F5jfkEYAAAAJ&hl=en,14698,13567,15,13,14119,15
Kevin Bache,University of California Irvine,43,https://scholar.google.com/citations?user=RSMBQOgAAAAJ&hl=en,5703,4466,4,4,5623,6
Diane Trout,California Institute of Technology,10,https://scholar.google.com/citations?user=DALEeNkAAAAJ&hl=en,2843,2789,6,5,2754,3
Stephan Stolz,University of Notre Dame,18,https://scholar.google.com/citations?user=OtJljc0AAAAJ&hl=en,4338,1467,23,14,2740,3
Rupak Shivakoti,Johns Hopkins University,12,https://scholar.google.com/citations?user=OMcqbkgAAAAJ&hl=en,17227,17128,7,7,17227,19
Michael Freeman,University of Washington,60,https://scholar.google.com/citations?user=Kcjf-xYAAAAJ&hl=en,27107,26075,25,20,28932,32
Daniel H Buckley,Cornell,15,https://scholar.google.com/citations?user=GrqSPYkAAAAJ&hl=en,16222,7247,29,26,25272,28
Terrence L. Fine,Cornell,15,https://scholar.google.com/citations?user=CKPeC3IAAAAJ&hl=en,18915,5939,21,12,902,1
Elmar Pruesse,University of Denver,88,https://scholar.google.com/citations?user=F-yGwRIAAAAJ&hl=en,9203,8392,10,9,5318,6
Elmar Pruesse,University of Colorado,92,https://scholar.google.com/citations?user=F-yGwRIAAAAJ&hl=en,9203,8392,10,9,5318,6
Lawrence M. Seiford,University of Michigan,28,https://scholar.google.com/citations?user=_ttu2g0AAAAJ&hl=en,28984,13246,50,40,3527,4
Subhradip Karmakar PhD,University of Chicago,3,https://scholar.google.com/citations?user=v0HVsbwAAAAJ&hl=en,8284,7982,12,11,6966,8
Subhradip Karmakar PhD,Yale,4,https://scholar.google.com/citations?user=v0HVsbwAAAAJ&hl=en,8284,7982,12,11,6966,8
H. Russell Bernard,University of Florida,45,https://scholar.google.com/citations?user=NzOG6rIAAAAJ&hl=en,39288,20590,50,36,14795,17
Jacopo Pazzini,Brown University,14,https://scholar.google.com/citations?user=ls7v_BUAAAAJ&hl=en,21305,20294,25,25,24756,29
Geo Pertea,Johns Hopkins University,12,https://scholar.google.com/citations?user=OtfJBSQAAAAJ&hl=en,20914,16660,25,20,12569,15
Theodosios Pavlidis,Stony Brook University,98,https://scholar.google.com/citations?user=N7m4vIQAAAAJ&hl=en,21267,2897,62,26,6403,8
Robert M Gray,Stanford,7,https://scholar.google.com/citations?user=g7skETwAAAAJ&hl=en,45911,9346,77,30,8762,11
Roger Bohn,University of California San Diego,44,https://scholar.google.com/citations?user=LfG6NDsAAAAJ&hl=en,7120,2438,29,20,2353,3
Roger Bohn,University of San Diego,93,https://scholar.google.com/citations?user=LfG6NDsAAAAJ&hl=en,7120,2438,29,20,2353,3
Jiangwei Zhang,Texas A&M University,72,https://scholar.google.com/citations?user=9NVS7bgAAAAJ&hl=en,4091,3936,8,8,3919,5
David Phillips,University of Washington,60,https://scholar.google.com/citations?user=gzmu46YAAAAJ&hl=en,21266,21000,17,16,20261,26
Matthew Zeiler,New York University,30,https://scholar.google.com/citations?user=a2KklUoAAAAJ&hl=en,6226,6176,10,9,5358,7
Robert J Kurman,Johns Hopkins University,12,https://scholar.google.com/citations?user=ctIVFaMAAAAJ&hl=en,49861,16942,100,66,2292,3
Eddie Joon Park,University of California Irvine,43,https://scholar.google.com/citations?user=W53L7MQAAAAJ&hl=en,8358,8334,5,5,8358,11
Shu Q. Liu,Northwestern,13,https://scholar.google.com/citations?user=7GQ6BLgAAAAJ&hl=en,31057,26658,39,28,24952,34
Melvin Rogers,Emory,21,https://scholar.google.com/citations?user=iBRE7p0AAAAJ&hl=en,9343,4036,13,11,8484,12
Melvin Rogers,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=iBRE7p0AAAAJ&hl=en,9343,4036,13,11,8484,12
William Wilson,Harvard,2,https://scholar.google.com/citations?user=Ity_nk4AAAAJ&hl=en,43412,12863,50,32,19694,28
A Parasuraman,Miami University,78,https://scholar.google.com/citations?user=7fQX_pYAAAAJ&hl=en,158190,75399,88,67,15988,23
Paul DiMaggio,Princeton,1,https://scholar.google.com/citations?user=0A5Gnc0AAAAJ&hl=en,87993,38516,65,48,9033,13
A Parasuraman,University of Miami,49,https://scholar.google.com/citations?user=7fQX_pYAAAAJ&hl=en,157728,74997,88,67,15873,23
Ann or Gerhard Lenski,University of North Carolina at Chapel Hill,31,https://scholar.google.com/citations?user=Xpjeo_oAAAAJ&hl=en,9871,2042,27,15,2064,3
Bruce F. Wollenberg,University of Minnesota,73,https://scholar.google.com/citations?user=phpSMUUAAAAJ&hl=en,14292,7073,28,19,8888,13
James Ogg,Purdue University,57,https://scholar.google.com/citations?user=TJUXKR0AAAAJ&hl=en,17535,7601,40,23,26515,39
Charles Ragin,University of California Irvine,43,https://scholar.google.com/citations?user=SOqTLE4AAAAJ&hl=en,37551,18511,59,44,8115,12
Benoí¬t B. Mandelbrot,Yale,4,https://scholar.google.com/citations?user=vZA2pjwAAAAJ&hl=en,107666,30621,90,57,10782,16
Sergio Verdu,Princeton,1,https://scholar.google.com/citations?user=ofcrge8AAAAJ&hl=en,88302,31687,77,53,48254,72
Hagen Tilgner,Cornell,15,https://scholar.google.com/citations?user=zxhcvmoAAAAJ&hl=en,12140,11904,14,14,10720,16
"Rachel H. Mackey, PhD, MPH, FAHA",University of Pittsburgh,68,https://scholar.google.com/citations?user=_rxBl7sAAAAJ&hl=en,22419,21347,32,29,35183,53
Warren Stutzman,Virginia Tech,74,https://scholar.google.com/citations?user=mY2L4aQAAAAJ&hl=en,9122,3157,28,17,5269,8
BF Skinner,Harvard,2,https://scholar.google.com/citations?user=D0qlp-IAAAAJ&hl=en,135314,35357,110,64,19014,29
Robert J. Gordon,Northwestern,13,https://scholar.google.com/citations?user=VjKed74AAAAJ&hl=en,24607,5985,83,39,3245,5
Avinash Das Sahu,University of Maryland College Park,65,https://scholar.google.com/citations?user=DEvS7JIAAAAJ&hl=en,6139,6117,4,4,12224,19
Philippe Batut,Princeton,1,https://scholar.google.com/citations?user=SJ39sJYAAAAJ&hl=en,5092,5086,5,5,5092,8
Roy Burstein,University of Washington,60,https://scholar.google.com/citations?user=JiN5yhwAAAAJ&hl=en,12813,12737,12,12,16478,26
Lisa Baumgartner,Texas A&M University,72,https://scholar.google.com/citations?user=Bz41osoAAAAJ&hl=en,10400,4957,15,14,17870,29
Kaustubh C. Dabhadkar,Brown University,14,https://scholar.google.com/citations?user=2V1f8fYAAAAJ&hl=en,23237,23115,13,13,23130,38
Zoí‚ Chafe,Cornell,15,https://scholar.google.com/citations?user=z3BMfikAAAAJ&hl=en,7804,7388,15,13,7235,12
"Sana Syed, MD, MS",University of Virginia,26,https://scholar.google.com/citations?user=efRIu3gAAAAJ&hl=en,9056,8989,8,7,12657,21
Pouya Kheradpour,Massachusetts Institute of Technology,6,https://scholar.google.com/citations?user=EyIWae4AAAAJ&hl=en,19859,17288,28,27,9583,16
Christopher Wilks,Johns Hopkins University,12,https://scholar.google.com/citations?user=Lefyye4AAAAJ&hl=en,9518,9095,7,7,7759,13
Herbert Duber,University of Washington,60,https://scholar.google.com/citations?user=h4bIhD4AAAAJ&hl=en,19697,19425,13,13,24359,41
Ali S. Hadi,American University,69,https://scholar.google.com/citations?user=-8xAh5IAAAAJ&hl=en,12923,4948,30,20,6528,11
Peter White,University of North Carolina at Chapel Hill,31,https://scholar.google.com/citations?user=Jq3hCsYAAAAJ&hl=en,18847,5981,51,28,9436,16
Marie Christine Stock,Northwestern,13,https://scholar.google.com/citations?user=uO8JSlIAAAAJ&hl=en,3621,1041,22,13,2943,5
Basil Hatim,American University,69,https://scholar.google.com/citations?user=IVydQ-4AAAAJ&hl=en,8678,4166,22,15,4092,7
Richard Cloward,Columbia,5,https://scholar.google.com/citations?user=Bui2E3cAAAAJ&hl=en,20325,4772,33,17,4071,7
Richard A White,Harvard,2,https://scholar.google.com/citations?user=75oKEWoAAAAJ&hl=en,17582,17454,23,23,17393,30
Arif Ozgun Harmanci,Yale,4,https://scholar.google.com/citations?user=8VUhQBkAAAAJ&hl=en,7913,7785,12,11,7472,13
Richard Buchanan,Case Western Reserve University,38,https://scholar.google.com/citations?user=yqrwdGwAAAAJ&hl=en,8955,4483,23,20,4017,7
Yangqing Peng,Washington University in St. Louis,19,https://scholar.google.com/citations?user=oUFBtjMAAAAJ&hl=en,2668,2631,4,4,2254,4
Yangqing Peng,Saint Louis University,95,https://scholar.google.com/citations?user=oUFBtjMAAAAJ&hl=en,2668,2631,4,4,2254,4
Kyle Foreman,Harvard,2,https://scholar.google.com/citations?user=kBS0BLIAAAAJ&hl=en,26319,25582,25,25,22322,40
Kyle Foreman,University of Washington,60,https://scholar.google.com/citations?user=kBS0BLIAAAAJ&hl=en,26319,25582,25,25,22322,40
Kyle Ellrott,University of California Santa Cruz,85,https://scholar.google.com/citations?user=sHfmPSkAAAAJ&hl=en,10565,10240,18,15,10003,18
Patricia S. CHURCHLAND,University of California San Diego,44,https://scholar.google.com/citations?user=tbBE8QwAAAAJ&hl=en,27140,8062,46,29,15399,28
Patricia S. CHURCHLAND,University of San Diego,93,https://scholar.google.com/citations?user=tbBE8QwAAAAJ&hl=en,27140,8062,46,29,15399,28
Thomas D Cook,Northwestern,13,https://scholar.google.com/citations?user=TCpyDZMAAAAJ&hl=en,77678,24314,72,47,34559,63
Hal Stern,University of California Irvine,43,https://scholar.google.com/citations?user=l-Jd0tUAAAAJ&hl=en,28226,14310,38,27,21350,39
Raymond K. Auerbach,Yale,4,https://scholar.google.com/citations?user=_tDXYaYAAAAJ&hl=en,10830,10006,24,21,7062,13
Hongjiao Ouyang,University of Pittsburgh,68,https://scholar.google.com/citations?user=GI7NjBwAAAAJ&hl=en,6106,4923,19,15,3796,7
John Terning,University of California Davis,48,https://scholar.google.com/citations?user=dcn1sGsAAAAJ&hl=en,75865,25508,61,37,15723,29
Jing Leng,Yale,4,https://scholar.google.com/citations?user=uCghZNgAAAAJ&hl=en,15409,14426,16,16,8039,15
Andrew F. Hayes,Ohio State University,54,https://scholar.google.com/citations?user=qRrkCbkAAAAJ&hl=en,61192,52936,46,38,17138,32
Hye-Jung Elizabeth Chun,Columbia,5,https://scholar.google.com/citations?user=9aSGfDkAAAAJ&hl=en,12797,12500,17,17,12305,23
Morris Janowitz,University of Chicago,3,https://scholar.google.com/citations?user=gK2ku3IAAAAJ&hl=en,23368,5989,55,30,2673,5
Peter Gilbert,Duke University,9,https://scholar.google.com/citations?user=boRVzcMAAAAJ&hl=en,3214,3015,12,11,2636,5
Kenneth Manton,Duke University,9,https://scholar.google.com/citations?user=EWougnAAAAAJ&hl=en,25775,5225,74,32,2630,5
Katsushi Arisaka,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=NWKOsDQAAAAJ&hl=en,62596,44851,95,78,40594,78
Lixing Yang,University of Chicago,3,https://scholar.google.com/citations?user=KIqsX0EAAAAJ&hl=en,18911,17833,29,29,14499,28
Nicholas S. Davis,Duke University,9,https://scholar.google.com/citations?user=tGQm2R4AAAAJ&hl=en,6204,6183,5,5,6204,12
Jack Donnelly,University of Denver,88,https://scholar.google.com/citations?user=2X0DLYwAAAAJ&hl=en,12747,5632,34,24,5687,11
Jie Wang,University at Buffalo,100,https://scholar.google.com/citations?user=5tvHmuMAAAAJ&hl=en,9832,9382,25,22,7731,15
John R Anderson,Carnegie Mellon University,25,https://scholar.google.com/citations?user=PGcc-RIAAAAJ&hl=en,124207,34541,128,76,32307,63
Gary H. Sanders,California Institute of Technology,10,https://scholar.google.com/citations?user=uYilLZMAAAAJ&hl=en,12824,4347,58,23,3043,6
Jieming Chen,Yale,4,https://scholar.google.com/citations?user=YcPJj-oAAAAJ&hl=en,8152,7915,14,14,7057,14
Eyleen J. O'Rourke,University of Virginia,26,https://scholar.google.com/citations?user=O3qOkKsAAAAJ&hl=en,4818,4433,14,13,4005,8
"Qian Cai, MD, Ph.D.",Rutgers University,70,https://scholar.google.com/citations?user=d-NPUGQAAAAJ&hl=en,7517,6150,21,19,9925,20
David JW Grant,University of Minnesota,73,https://scholar.google.com/citations?user=rrbsXR8AAAAJ&hl=en,11066,4453,52,32,982,2
Lisa Brannon-Peppas,University of Texas at Austin,59,https://scholar.google.com/citations?user=VHEKEggAAAAJ&hl=en,9486,4910,35,27,486,1
John P. Huelsenbeck,UC Berkeley,22,https://scholar.google.com/citations?user=rQ0w89cAAAAJ&hl=en,68382,33706,64,44,6793,14
Donald beasley,Clemson University,67,https://scholar.google.com/citations?user=Ri_5EmAAAAAJ&hl=en,2973,1351,21,14,1455,3
Sylvanus Yuk Kwan Lee,Boston University,37,https://scholar.google.com/citations?user=-GXAktsAAAAJ&hl=en,5428,4416,24,16,3856,8
Chris Gunter,Emory,21,https://scholar.google.com/citations?user=L6YcCtoAAAAJ&hl=en,9890,8432,16,12,6739,14
Norman Dowling,Virginia Tech,74,https://scholar.google.com/citations?user=KdKo__QAAAAJ&hl=en,7407,2311,28,15,3327,7
Lijia Ma,University of Chicago,3,https://scholar.google.com/citations?user=L3jQVIQAAAAJ&hl=en,15394,13673,21,20,7599,16
Mark Hall,Wake Forest University,27,https://scholar.google.com/citations?user=On82qG4AAAAJ&hl=en,70568,40436,65,44,32761,69
Pamela Shoemaker,Syracuse University,64,https://scholar.google.com/citations?user=1bVL2uAAAAAJ&hl=en,10270,5566,33,25,5188,11
"Antonis S. Zervos, Ph.D.",University of Florida,45,https://scholar.google.com/citations?user=d45ieWcAAAAJ&hl=en,8215,4744,28,20,3772,8
Nicholas Kassebaum,University of Washington,60,https://scholar.google.com/citations?user=ky1SsWwAAAAJ&hl=en,28653,28478,25,25,32284,69
Jon Carr,North Carolina State University,84,https://scholar.google.com/citations?user=rw3dBtEAAAAJ&hl=en,11642,7866,20,19,8888,19
Kavi Bhalla,University of Chicago,3,https://scholar.google.com/citations?user=bbDMMiIAAAAJ&hl=en,19508,18708,25,22,17933,39
Roderick Little,University of Michigan,28,https://scholar.google.com/citations?user=gj7OdjcAAAAJ&hl=en,50688,22313,74,50,23722,52
"_�._�. _ç_Á___Áãóã�___Ÿ__, www.samarskii.ru",Michigan State University,83,https://scholar.google.com/citations?user=-E236qQAAAAJ&hl=en,43446,13503,73,43,5012,11
Ann Buchholtz,Rutgers University,70,https://scholar.google.com/citations?user=_mKYHQcAAAAJ&hl=en,10140,5291,27,21,4949,11
Stephen Lim,University of Washington,60,https://scholar.google.com/citations?user=Q8-Jm6AAAAAJ&hl=en,44453,42347,59,55,38614,86
Michael Wesson,Texas A&M University,72,https://scholar.google.com/citations?user=Ycx1Eb8AAAAJ&hl=en,7827,4802,10,10,448,1
kamal Benslama,Columbia,5,https://scholar.google.com/citations?user=c1ImqpoAAAAJ&hl=en,69988,60904,113,103,299575,672
Suzanne M Wilson,University of Connecticut,58,https://scholar.google.com/citations?user=_QOiDy0AAAAJ&hl=en,14238,5098,36,26,4455,10
James H McMillan,University of Virginia,26,https://scholar.google.com/citations?user=fTM0AW0AAAAJ&hl=en,18675,10326,35,29,9783,22
Alan P Boyle,University of Michigan,28,https://scholar.google.com/citations?user=yAqEpxMAAAAJ&hl=en,13474,12845,21,21,10187,23
"Syphers, MJ",Michigan State University,83,https://scholar.google.com/citations?user=cSN8ZyQAAAAJ&hl=en,27596,18870,29,14,15453,35
Hany Khalil,University of Southern California,24,https://scholar.google.com/citations?user=AEp85wMAAAAJ&hl=en,6338,5269,8,8,5716,13
Melih Ozbek,Carnegie Mellon University,25,https://scholar.google.com/citations?user=49quCDgAAAAJ&hl=en,14049,12492,32,30,10978,25
Jing Gao,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=jPBlSH4AAAAJ&hl=en,5190,5179,12,12,5190,12
Dent Earl,University of California Santa Cruz,85,https://scholar.google.com/citations?user=soQ-3cMAAAAJ&hl=en,6640,6414,17,17,4755,11
John von Neumann,Princeton,1,https://scholar.google.com/citations?user=6kEXBa0AAAAJ&hl=en,109708,33759,92,60,6908,16
Dent Earl,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=soQ-3cMAAAAJ&hl=en,6622,6397,17,17,4737,11
"Pandis, Spyros",Carnegie Mellon University,25,https://scholar.google.com/citations?user=D1h-9JAAAAAJ&hl=en,42447,18826,89,56,54253,126
George Angus McQuibban,University of Georgia,55,https://scholar.google.com/citations?user=W9xwZmkAAAAJ&hl=en,9414,6292,20,19,6003,14
R. Byron Pipes,Purdue University,57,https://scholar.google.com/citations?user=xyzNZh8AAAAJ&hl=en,9212,2109,45,26,857,2
Mary P Anderson,University of Wisconsin Madison,50,https://scholar.google.com/citations?user=ALH3ocMAAAAJ&hl=en,8629,2769,38,22,2568,6
Friedrich Hayek,University of Chicago,3,https://scholar.google.com/citations?user=ln3SfRcAAAAJ&hl=en,103222,33643,110,63,31611,74
Richard Rumelt,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=p3NFTl8AAAAJ&hl=en,33413,10511,32,27,427,1
Cathy Caruth,Cornell,15,https://scholar.google.com/citations?user=xlEUkucAAAAJ&hl=en,11239,5981,22,14,5493,13
Adil Najam,Boston University,37,https://scholar.google.com/citations?user=l6nq2hkAAAAJ&hl=en,8331,4856,34,25,3371,8
Anaclaire Meyer,Yale,4,https://scholar.google.com/citations?user=33RZJt4AAAAJ&hl=en,10137,9837,11,10,13416,32
Cynthia Tracy,George Washington University,56,https://scholar.google.com/citations?user=Ez6Hy20AAAAJ&hl=en,27784,19464,50,37,10053,24
Martin Puterman,Columbia,5,https://scholar.google.com/citations?user=uCCMYzIAAAAJ&hl=en,14607,6349,35,19,10848,26
Herbert S. Wilf (1931-2012),University of Pennsylvania,8,https://scholar.google.com/citations?user=B9SZnJ0AAAAJ&hl=en,11985,2952,44,25,3332,8
Shelley E. Taylor,"University of California, Los Angeles",23,https://scholar.google.com/citations?user=d9gOvWMAAAAJ&hl=en,97901,37589,125,87,17482,42
David J. Teece,UC Berkeley,22,https://scholar.google.com/citations?user=RVsEj5EAAAAJ&hl=en,124653,54477,101,67,34763,84
David Pollard,Yale,4,https://scholar.google.com/citations?user=P8bxnKQAAAAJ&hl=en,10245,3230,28,19,3288,8
Nathan C. Sheffield,University of Virginia,26,https://scholar.google.com/citations?user=_v0wi6AAAAAJ&hl=en,9789,9633,17,17,8116,20
Hope Johnson,Johns Hopkins University,12,https://scholar.google.com/citations?user=JP2eUj8AAAAJ&hl=en,6621,6018,16,16,5655,14
Scott O. Zeitlin,University of Virginia,26,https://scholar.google.com/citations?user=Uvpm1Z4AAAAJ&hl=en,12007,7349,37,28,6003,15
Theodosius Dobzhansky,Columbia,5,https://scholar.google.com/citations?user=sp0-z2IAAAAJ&hl=en,31443,6192,66,27,3601,9
paul viotti,University of Denver,88,https://scholar.google.com/citations?user=LuKpVysAAAAJ&hl=en,1675,680,9,7,4799,12
Hector Alejandro Becerril,Brigham Young University,61,https://scholar.google.com/citations?user=T1YleMUAAAAJ&hl=en,6376,4935,25,20,399,1
Mark Brown,Brown University,14,https://scholar.google.com/citations?user=ZTuyc_cAAAAJ&hl=en,4006,1536,4,4,3989,10
Kathryn Sikkink,Harvard,2,https://scholar.google.com/citations?user=vAC1NBUAAAAJ&hl=en,35384,16754,46,36,13378,34
"Trish Hatch, PhD",University of San Diego,93,https://scholar.google.com/citations?user=W_OBy0MAAAAJ&hl=en,2942,1521,12,10,2356,6
Ioannis Karatzas,Columbia,5,https://scholar.google.com/citations?user=mG07_6kAAAAJ&hl=en,27088,10186,52,38,12097,31
Katharine J. Mach,Stanford,7,https://scholar.google.com/citations?user=HJxEu3cAAAAJ&hl=en,18270,13255,28,26,22609,58
Ophir Shalem,University of Pennsylvania,8,https://scholar.google.com/citations?user=h10oqQYAAAAJ&hl=en,5778,5704,16,16,5452,14
Gerald Davis,University of Michigan,28,https://scholar.google.com/citations?user=UJ4yRzYAAAAJ&hl=en,27615,11898,46,41,14003,36
Robert Kubey,Rutgers University,70,https://scholar.google.com/citations?user=Ue0qpX4AAAAJ&hl=en,4493,1447,26,20,774,2
Katherine Flegal,Stanford,7,https://scholar.google.com/citations?user=D7CrQZkAAAAJ&hl=en,139472,68866,91,72,21240,55
Sara Witmer,Michigan State University,83,https://scholar.google.com/citations?user=3Y2G4noAAAAJ&hl=en,3621,1040,16,12,5751,15
Loring Tu,Tufts University,29,https://scholar.google.com/citations?user=xz6jCJcAAAAJ&hl=en,3956,1227,11,7,3427,9
Paul D. Allison,University of Pennsylvania,8,https://scholar.google.com/citations?user=RFRPlFoAAAAJ&hl=en,40443,17582,51,42,8750,23
Robert E Burke,Columbia,5,https://scholar.google.com/citations?user=PzySf88AAAAJ&hl=en,18620,8550,60,29,6043,16
Ethan Cerami,Harvard,2,https://scholar.google.com/citations?user=sWkHMacAAAAJ&hl=en,19696,16874,22,19,9442,25
BethAnn McLaughlin,Vanderbilt,17,https://scholar.google.com/citations?user=hPq2CqAAAAAJ&hl=en,6098,4564,26,19,7527,20
C. Arden Pope,Brigham Young University,61,https://scholar.google.com/citations?user=AbQ7PhEAAAAJ&hl=en,72601,47907,68,55,27007,72
Elena Gonzalez Brant,University of Pittsburgh,68,https://scholar.google.com/citations?user=c5iETG0AAAAJ&hl=en,4769,4325,5,5,1500,4
Mary Jo Hatch,University of Virginia,26,https://scholar.google.com/citations?user=bvm0MbkAAAAJ&hl=en,18274,8218,47,35,5229,14
"Aref Bin Abdulhak,MD",University of Iowa,80,https://scholar.google.com/citations?user=vUtcKRsAAAAJ&hl=en,21388,21264,23,23,21252,57
Yao Fu,Yale,4,https://scholar.google.com/citations?user=gklyxXcAAAAJ&hl=en,8212,8195,11,11,8199,22
R. Sekhar Chivukula,University of Michigan,28,https://scholar.google.com/citations?user=RBZNdf4AAAAJ&hl=en,76590,25105,46,26,16022,43
R. Sekhar Chivukula,Michigan State University,83,https://scholar.google.com/citations?user=RBZNdf4AAAAJ&hl=en,76590,25105,46,26,16022,43
"Hialy Gutierrez, MPH",Columbia,5,https://scholar.google.com/citations?user=HkCObXYAAAAJ&hl=en,11506,11225,10,10,8186,22
"Hialy Gutierrez, MPH",Stanford,7,https://scholar.google.com/citations?user=HkCObXYAAAAJ&hl=en,11506,11225,10,10,8186,22
